! Spectral response of SEVIRI Ch4 (3.9microns)
! Numbers taken from file downloaded from
! https://www.eumetsat.int/website/home/Data/Products/Calibration/Instrumentstatusandcalibration/index.html#met11seviri
! specifically PFM, sampled at 0.0176microns and truncated
! wavelength, response
56 = number of points
3.48	0.002
3.4976	0.003
3.5152	0.004
3.5328	0.008
3.5504	0.018
3.568	0.038
3.5856	0.083
3.6032	0.174
3.6208	0.330
3.6384	0.543
3.656	0.734
3.6736	0.869
3.6912	0.931
3.7088	0.956
3.7264	0.970
3.744	0.976
3.7616	0.985
3.7792	0.984
3.7968	0.996
3.8144	0.994
3.832	1.000
3.8496	0.985
3.8672	0.977
3.8848	0.986
3.9024	0.996
3.92	0.987
3.9376	0.986
3.9552	0.977
3.9728	0.964
3.9904	0.947
4.008	0.947
4.0256	0.938
4.0432	0.928
4.0608	0.926
4.0784	0.905
4.096	0.903
4.1136	0.887
4.1312	0.869
4.1488	0.841
4.1664	0.782
4.184	0.686
4.2016	0.570
4.2192	0.447
4.2368	0.313
4.2544	0.153
4.272	0.088
4.2896	0.048
4.3072	0.028
4.3248	0.017
4.3424	0.012
4.36	0.008
4.3776	0.005
4.3952	0.004
4.4128	0.002
4.4304	0.001
4.448	0.001
---
