! Spectral response of SEVIRI Ch7 (8.7microns)
! Numbers taken from file downloaded from
! https://www.eumetsat.int/website/home/Data/Products/Calibration/Instrumentstatusandcalibration/index.html#met11seviri
! specifically PFM, sampled at 0.016microns and truncated
! wavelength, response
69 = number of points
8.252	0.001
8.268	0.001
8.284	0.002
8.3	0.005
8.316	0.005
8.332	0.010
8.348	0.002
8.364	0.007
8.38	0.014
8.396	0.034
8.412	0.040
8.428	0.054
8.444	0.074
8.46	0.112
8.476	0.182
8.492	0.258
8.508	0.368
8.524	0.476
8.54	0.600
8.556	0.708
8.572	0.771
8.588	0.831
8.604	0.844
8.62	0.825
8.636	0.837
8.652	0.835
8.668	0.835
8.684	0.831
8.7	0.823
8.716	0.847
8.732	0.860
8.748	0.873
8.764	0.882
8.78	0.923
8.796	0.978
8.812	1.000
8.828	0.995
8.844	0.932
8.86	0.822
8.876	0.648
8.892	0.475
8.908	0.335
8.924	0.217
8.94	0.139
8.956	0.094
8.972	0.060
8.988	0.037
9.004	0.030
9.02	0.013
9.036	0.011
9.052	0.014
9.068	0.002
9.084	0.003
9.1	0.002
9.116	0.001
9.132	0.001
9.148	0.002
9.164	0.003
9.18	0.001
9.196	0.001
9.212	0.001
9.228	0.001
9.244	0.001
9.26	0.001
9.276	0.001
9.292	0.001
9.308	0.001
9.324	0.001
9.34	0.001
---
